;replica;k;time
[220;10;1,00E+05;11.5
[221;11;1,00E+05;11.25
[222;12;1,00E+05;11.6700000000001
[223;13;1,00E+05;10.7800000000002
[224;14;1,00E+05;10.5699999999997
[225;15;1,00E+05;10.8099999999999
[226;16;1,00E+05;10.3100000000004
[227;17;1,00E+05;10.4699999999998
[228;18;1,00E+05;10.3299999999999
[229;19;1,00E+05;10.48
[230;20;1,00E+05;10.46
[231;21;1,00E+05;10.48
[232;22;1,00E+05;10.4699999999998
[233;23;1,00E+05;10.2800000000002
[234;24;1,00E+05;10.6100000000001
[235;25;1,00E+05;10.8299999999999
[236;26;1,00E+05;10.9200000000001
[237;27;1,00E+05;11.7199999999998
[238;28;1,00E+05;10.9500000000003
[239;29;1,00E+05;10.02
[240;30;1,00E+05;11.2199999999998
[241;1;2,00E+05;24.1100000000001
[242;2;2,00E+05;23.1500000000001
[243;3;2,00E+05;25.3799999999997
[244;4;2,00E+05;21.7800000000002
[245;5;2,00E+05;22.3299999999999
[246;6;2,00E+05;22.5900000000001
[247;7;2,00E+05;21.5899999999997
[248;8;2,00E+05;22.1100000000001
[249;9;2,00E+05;21.8200000000002
[250;10;2,00E+05;22.6999999999998
[251;11;2,00E+05;20.5300000000002
[252;12;2,00E+05;21.3899999999999
[253;13;2,00E+05;23.1700000000001
[254;14;2,00E+05;21.3299999999999
[255;15;2,00E+05;21.9200000000001
[256;16;2,00E+05;21.0999999999999
[257;17;2,00E+05;21.7600000000002
[258;18;2,00E+05;22.9899999999998
[259;19;2,00E+05;22.46
[260;20;2,00E+05;21.6799999999998
[261;21;2,00E+05;21.4200000000001
[262;22;2,00E+05;22.2000000000003
[263;23;2,00E+05;22.0499999999997
[264;24;2,00E+05;25.1199999999999
[265;25;2,00E+05;23.0800000000004
[266;26;2,00E+05;26.9499999999998
[267;27;2,00E+05;27.8500000000004
[268;28;2,00E+05;26.7199999999993
[269;29;2,00E+05;27.6999999999998
[270;30;2,00E+05;25.9700000000003
